14, Up Left, 1658691332026, 1658691332249
14, Down, 1658691339549, 1658691339709
14, Down Right, 1658691347109, 1658691347289
14, Up, 1658691641492, 1658691641612
14, Left, 1658691648661, 1658691648741
14, Down Left, 1658691656281, 1658691656365
14, Down, 1658691663961, 1658691664061
14, Up Right, 1658691671385, 1658691671581
14, Right, 1658691679700, 1658691679820
14, , 0, 0
14, Down Left, 1658691694523, 1658691694620
14, Right, 1658691701180, 1658691701320
14, , 0, 0
14, Up Right, 1658691717810, 1658691717929
14, Down Left, 1658691724010, 1658691724130
14, Up Left, 1658691731759, 1658691731859
14, Down Left, 1658691739299, 1658691739399
14, Up, 1658691747249, 1658691747349
14, Down Right, 1658691754450, 1658691754519
3, Left, 1658694263035, 1658694263178
3, Down Right, 1658694270659, 1658694270902
3, Up Left, 1658694278052, 1658694278374
3, Up Right, 1658694285688, 1658694286061
3, Down Left, 1658694293141, 1658694293442
3, Right, 1658694301002, 1658694301261
3, Up, 1658694307941, 1658694308301
3, Down, 1658694319421, 1658694319641
3, Down Left, 1658694323431, 1658694323673
3, Left, 1658694330609, 1658694330860
3, Up, 1658694338151, 1658694338562
3, Right, 1658694345690, 1658694346061
3, Up Right, 1658694353560, 1658694353960
3, Up Left, 1658694360940, 1658694361279
3, Down Right, 1658694368129, 1658694368329
3, Down Right, 1658694375810, 1658694376050
3, Up Left, 1658694423669, 1658694423952
3, Left, 1658694431238, 1658694431448
3, Down Left, 1658694438748, 1658694439048
3, Down Right, 1658694446127, 1658694446428
3, Up Left, 1658694453647, 1658694453888
3, Right, 1658694461208, 1658694461454
3, Up Right, 1658694468738, 1658694469058
3, Down Right, 1658694476237, 1658694476497
3, Right, 1658694483697, 1658694483961
3, Left, 1658694492517, 1658694492697
3, Up Right, 1658694498756, 1658694498977
3, Down, 1658694506366, 1658694506607
3, Up Left, 1658694513907, 1658694514207
3, Down Left, 1658694521597, 1658694521876
3, Up, 1658694528801, 1658694529078
3, Down Right, 1658694536846, 1658694537305
13, Left, 1658773202504, 1658773202944
13, Down Right, 1658773210896, 1658773211184
13, Up Left, 1658773218362, 1658773218730
13, Up Right, 1658773226553, 1658773226894
13, Down Left, 1658773233254, 1658773233414
13, Right, 1658773240223, 1658773240483
13, Up, 1658773247614, 1658773248074
13, Down, 1658773255074, 1658773255233
13, Down, 1658773263313, 1658773263513
13, Down Left, 1658773270113, 1658773270353
13, Up, 1658773277462, 1658773277944
13, Right, 1658773285242, 1658773285483
13, Up Right, 1658773293632, 1658773293936
13, Up Left, 1658773300853, 1658773301152
13, Down, 1658773309072, 1658773309272
13, Down Left, 1658773316544, 1658773316922
13, Up, 1658773380570, 1658773380911
13, Down Left, 1658773387950, 1658773388190
13, Down Left, 1658773396800, 1658773397000
13, Down, 1658773403050, 1658773403311
13, Up Left, 1658773411219, 1658773411600
13, Right, 1658773418190, 1658773418390
13, Up Right, 1658773425970, 1658773426330
13, Down Left, 1658773433769, 1658773433950
13, Right, 1658773440529, 1658773440709
13, Down Left, 1658773448169, 1658773448409
13, Up Right, 1658773456039, 1658773456399
13, Down, 1658773463239, 1658773463439
13, Up Left, 1658773471739, 1658773471997
13, Down Left, 1658773478929, 1658773479069
13, Up Right, 1658773485578, 1658773485759
13, Down Left, 1658773492999, 1658773494378
7, , 0, 0
7, , 0, 0
7, , 0, 0
7, , 0, 0
7, Down Left, 1658776719809, 1658776720017
7, Right, 1658776731434, 1658776731629
7, Up Right, 1658776738892, 1658776739089
7, Down Right, 1658776746409, 1658776746649
7, Down Left, 1658776757038, 1658776757378
7, Left, 1658776763218, 1658776763488
7, Up Right, 1658776768758, 1658776768939
7, Right, 1658776776365, 1658776776504
7, Up Right, 1658776784048, 1658776784248
7, Up Left, 1658776791561, 1658776791819
7, Down Right, 1658776798978, 1658776799201
7, Down Right, 1658776807498, 1658776807678
7, Up Left, 1658776835818, 1658776836397
7, Left, 1658776913706, 1658776913933
7, Down Left, 1658776921415, 1658776921661
7, Down Right, 1658776928726, 1658776928926
7, Up Right, 1658776936338, 1658776936615
7, Up Right, 1658776943675, 1658776943795
7, Up Right, 1658776951395, 1658776951535
7, Down Right, 1658776959045, 1658776959245
7, Up Right, 1658776966204, 1658776966324
7, Left, 1658776973745, 1658776973986
7, Up Right, 1658776981525, 1658776981644
7, Down Right, 1658776988724, 1658776988904
7, Up Left, 1658776996354, 1658776996574
7, Down Left, 1658777005254, 1658777005494
7, Up Right, 1658777011474, 1658777011694
7, Down Right, 1658777020394, 1658777020600
17, Up Left, 1658781250064, 1658781250203
17, Down Right, 1658781257579, 1658781257757
17, Up Right, 1658781265423, 1658781265563
17, Up Right, 1658781272873, 1658781273153
17, Down Left, 1658781279413, 1658781279673
17, Right, 1658781287531, 1658781287732
17, Up Right, 1658781294073, 1658781294213
17, Down, 1658781301432, 1658781301552
17, Down Left, 1658781309762, 1658781309842
17, Left, 1658781316842, 1658781317001
17, Up, 1658781323911, 1658781324091
17, Right, 1658781331634, 1658781331753
17, Up Right, 1658781339032, 1658781339152
17, Up Left, 1658781346767, 1658781346902
17, Down, 1658781354096, 1658781354232
17, Down Right, 1658781363022, 1658781363181
17, Up, 1658781407607, 1658781407800
17, Up Left, 1658781414151, 1658781414310
17, Down Left, 1658781420760, 1658781420980
17, Down, 1658781428910, 1658781429050
17, Up, 1658781435439, 1658781435719
17, Right, 1658781444469, 1658781444589
17, Up Right, 1658781451459, 1658781451659
17, Down Right, 1658781460449, 1658781460630
17, Right, 1658781465889, 1658781466049
17, Left, 1658781475219, 1658781475319
17, Up Right, 1658781480859, 1658781481079
17, Down, 1658781489184, 1658781489278
17, Up Left, 1658781495788, 1658781496329
17, Down Left, 1658781503685, 1658781503760
17, Down Right, 1658781510534, 1658781510735
17, Down Right, 1658781518567, 1658781518707
2, Left, 1658787362974, 1658787363274
2, Down Left, 1658787370316, 1658787370834
2, Up Left, 1658787377845, 1658787378145
2, Up Right, 1658787385262, 1658787385542
2, Down Left, 1658787393028, 1658787393304
2, Right, 1658787400253, 1658787400535
2, Up, 1658787407856, 1658787408166
2, Down, 1658787415373, 1658787415533
2, Down Left, 1658787423093, 1658787423253
2, Left, 1658787430324, 1658787430571
2, Up, 1658787437853, 1658787438033
2, Right, 1658787445303, 1658787445544
2, Up Left, 1658787453100, 1658787453313
2, Left, 1658787462502, 1658787465303
2, Down, 1658787468663, 1658787468743
2, , 0, 0
2, Up, 1658787518754, 1658787518852
2, Left, 1658787526763, 1658787526881
2, Down Left, 1658787534061, 1658787534362
2, Down, 1658787541404, 1658787541641
2, Up Left, 1658787549150, 1658787549350
2, Right, 1658787557571, 1658787557791
2, Up, 1658787564193, 1658787564394
2, Down Right, 1658787571870, 1658787572011
2, Right, 1658787579044, 1658787579160
2, Left, 1658787586672, 1658787586790
2, Up Right, 1658787594200, 1658787594319
2, Down, 1658787601989, 1658787602109
2, Up Left, 1658787609530, 1658787609650
2, Down Left, 1658787616940, 1658787617099
2, Up, 1658787625429, 1658787625609
2, Down Right, 1658787633119, 1658787633319
18, Left, 1658860318568, 1658860318988
18, Down Right, 1658860326069, 1658860326388
18, Up Left, 1658860333257, 1658860333758
18, Up Right, 1658860341748, 1658860341988
18, Down Left, 1658860348388, 1658860348667
18, Right, 1658860356699, 1658860356858
18, Up Left, 1658860363238, 1658860363537
18, Down, 1658860370916, 1658860371177
18, Down Left, 1658860378496, 1658860378658
18, Left, 1658860385897, 1658860386037
18, Up Left, 1658860393196, 1658860393396
18, Right, 1658860400787, 1658860400986
18, Up Right, 1658860408853, 1658860409086
18, Up Left, 1658860415907, 1658860416185
18, Down, 1658860423446, 1658860423586
18, Down Right, 1658860431265, 1658860431472
18, Up, 1658860478524, 1658860478705
