12, Air_Gestures, Down Left, 1658514241159, 1658514242073, , 0, 0
12, Air_Gestures, Right, 1658514248673, 1658514249236, , 0, 0
12, Air_Gestures, Up, 1658514256191, 1658514256665, , 0, 0
12, Air_Gestures, Down, 1658514263705, 1658514264380, , 0, 0
12, Air_Gestures, Down Left, 1658514271227, 1658514272199, , 0, 0
12, Air_Gestures, Left, 1658514278739, 1658514279390, , 0, 0
12, Air_Gestures, Up, 1658514286255, 1658514286732, , 0, 0
12, Air_Gestures, Right, 1658514293775, 1658514294341, , 0, 0
12, Air_Gestures, Up Right, 1658514301285, 1658514302015, , 0, 0
12, Air_Gestures, Up Left, 1658514308802, 1658514309665, , 0, 0
12, Air_Gestures, Down, 1658514316320, 1658514316944, , 0, 0
12, Air_Gestures, Down Right, 1658514323835, 1658514324663, , 0, 0
12, Air_Gestures, Up, 1658514427725, 1658514428162, , 0, 0
12, Air_Gestures, Left, 1658514435238, 1658514435889, , 0, 0
12, Air_Gestures, Down Left, 1658514442757, 1658514443707, , 0, 0
12, Air_Gestures, Down, 1658514450270, 1658514450964, , 0, 0
12, Air_Gestures, Up Left, 1658514457785, 1658514458613, , 0, 0
12, Air_Gestures, Right, 1658514465300, 1658514465921, , 0, 0
12, Air_Gestures, Up Right, 1658514472813, 1658514473578, , 0, 0
12, Air_Gestures, Down Right, 1658514480321, 1658514481143, , 0, 0
12, Air_Gestures, Right, 1658514487841, 1658514488438, , 0, 0
12, Air_Gestures, Left, 1658514495354, 1658514496041, , 0, 0
12, Air_Gestures, Up Right, 1658514502867, 1658514503667, , 0, 0
12, Air_Gestures, Down, 1658514510380, 1658514511012, , 0, 0
12, Air_Gestures, Up Left, 1658514517894, 1658514518731, , 0, 0
12, Air_Gestures, Down Left, 1658514525411, 1658514526330, , 0, 0
12, Air_Gestures, Up, 1658514532931, 1658514533488, , 0, 0
12, Air_Gestures, Down Right, 1658514540444, 1658514541286, , 0, 0
11, Swipe_Gestures, Left, 1658517075788, 1658517076407, Left, 1658517077411, 1658517077660
11, Swipe_Gestures, Down Right, 1658517083294, 1658517084134, Down Right, 1658517085167, 1658517085819
11, Swipe_Gestures, Up Left, 1658517090808, 1658517091687, Up Left, 1658517092453, 1658517092801
11, Swipe_Gestures, Up Right, 1658517098323, 1658517099069, , 1658517099730, 1658517100155
11, Swipe_Gestures, Down Left, 1658517105852, 1658517106833, Down Left, 1658517107518, 1658517107852
11, Swipe_Gestures, Right, 1658517113364, 1658517113906, Right, 1658517114936, 1658517115255
11, Swipe_Gestures, Up, 1658517120878, 1658517121442, Up, 1658517122328, 1658517122680
11, Swipe_Gestures, Down, 1658517128391, 1658517129015, Down, 1658517129718, 1658517129993
11, Swipe_Gestures, Down Left, 1658517135912, 1658517136891, Down Left, 1658517137746, 1658517138113
11, Swipe_Gestures, Left, 1658517143422, 1658517144074, Left, 1658517144905, 1658517145150
11, Swipe_Gestures, Up, 1658517150937, 1658517151413, Up, 1658517152192, 1658517152448
11, Swipe_Gestures, Right, 1658517158449, 1658517159010, Right, 1658517159860, 1658517160205
11, Swipe_Gestures, Up Right, 1658517165965, 1658517166747, Up Right, 1658517167591, 1658517168035
11, Swipe_Gestures, Up Left, 1658517173471, 1658517174304, Up Left, 1658517175360, 1658517175776
11, Swipe_Gestures, Down, 1658517180987, 1658517181692, Down, 1658517182368, 1658517182658
11, Swipe_Gestures, Down Right, 1658517188495, 1658517189317, , 1658517190516, 1658517191220
11, Swipe_Gestures, Up, 1658517260246, 1658517260808, Up, 1658517261801, 1658517262122
11, Swipe_Gestures, Left, 1658517267759, 1658517268434, Left, 1658517269046, 1658517269295
11, Swipe_Gestures, Down Left, 1658517275275, 1658517276246, Down Left, 1658517277004, 1658517277429
11, Swipe_Gestures, Down, 1658517282788, 1658517283442, Down, 1658517284123, 1658517284377
11, Swipe_Gestures, Up Left, 1658517290304, 1658517291220, Up Left, 1658517292013, 1658517292645
11, Swipe_Gestures, Right, 1658517297817, 1658517298377, Right, 1658517299440, 1658517299842
11, Swipe_Gestures, Up Right, 1658517305329, 1658517306057, Up Right, 1658517309440, 1658517309658
11, Swipe_Gestures, Down Right, 1658517312838, 1658517313586, Down Right, 1658517314525, 1658517315036
11, Swipe_Gestures, Right, 1658517320356, 1658517320956, Right, 1658517321833, 1658517322226
11, Swipe_Gestures, Left, 1658517327867, 1658517328598, Left, 1658517329228, 1658517329588
11, Swipe_Gestures, Up Right, 1658517335378, 1658517336129, Up Right, 1658517336883, 1658517337359
11, Swipe_Gestures, Down, 1658517342891, 1658517343632, Down, 1658517344447, 1658517344794
11, Swipe_Gestures, Up Left, 1658517350405, 1658517351242, Up Right, 1658517351740, 1658517352151
11, Swipe_Gestures, Down Left, 1658517357916, 1658517358862, Down Left, 1658517359498, 1658517359883
11, Swipe_Gestures, Up, 1658517365435, 1658517365930, Up, 1658517366758, 1658517367249
11, Swipe_Gestures, Down Right, 1658517372942, 1658517373827, Down Right, 1658517374642, 1658517375139
